     384   17152       Generated 4/19/82 
       1       0      -9       9       1
       2      28      -4       4       1
       3      22      -7       7      29
       4      22     -10      11    5757
       5      82     -10      10      61
       6      62     -12      12    6131
       7      96     -12      13     143
       8      10      -4       4     239
       9      38      -7       7     249
      10      38      -7       7     287
      11      16      -8       8     325
      12      10     -12      12     341
      13      14      -4       4     351
      14       4     -12      12     365
      15      10      -4       4     369
      16       4     -11      11     379
      17      78     -10      10     383
      18      20     -10      10     461
      19      88     -10      10     481
      20      90     -10      10     569
      21      24     -10      10     659
      22      76     -10      10     683
      23      94     -10      10     759
      24      60     -10      10     853
      25     124     -10      10     913
      26      94     -10      10    1037
      27      22      -4       4    1131
      28      26      -4       4    1153
      29       6     -11      11    1179
      30      10     -12      12    1185
      31       6     -11      11    1195
      32      62      -9       9    1201
      33     110     -13      14    5359
      34      34     -10      10    1263
      35      88     -11      11    1297
      36      62     -11      10    1385
      37      58     -11      11    1447
      38      42     -11      10    1505
      39      38     -11       9    1547
      40      78     -11      11    1585
      41      52     -12      12    1663
      42      22      -5       6    1715
      43      38      -8       8    1737
      44      52     -12      11    1775
      45      26     -10       9    1827
      46      58     -12      13    1853
      47      40     -11      12    1911
      48      86     -11      11    1951
      49      56     -11      11    2037
      50     106     -11      11    2093
      51      76     -11      11    2199
      52      66     -10      10    2275
      53      30      -9      10    2341
      54      44     -12      12    2371
      55      28     -11      11    2415
      56      46     -12      12    2443
      57      40     -11      11    2489
      58      38     -11      12    2529
      59      30     -10      10    2567
      60      22      -7       7    2597
      61       0       0       0    2619
      62      22      -7       7    2619
      63       0       0       0    2641
      64      20     -12      12    2641
      65      26      -7       7    2661
      66      76      -9      11    2687
      67      64     -11      10    2763
      68      54     -10       9    2827
      69      70     -10      11    2881
      70      60     -10       9    2951
      71      42      -7       5    3011
      72     118     -10      10    3053
      73      54     -11      11    3171
      74      34      -5       6    3225
      75      48      -5       6    3259
      76      52     -11      11    3307
      77      22      -5       6    3359
      78      86     -16      17    3381
      79      54     -11      11    3467
      80      70     -10      10    3521
      81      70     -11      10    3591
      82      64     -10      11    3661
      83      44      -9       8    3725
      84      58      -8       9    3769
      85      30      -7       8    3827
      86      54     -11      11    3857
      87      28     -10      10    3911
