13.062 13.062    # From ESO web site (Bohlin source) 1
   2001.37    11.551 1
   2002.74    11.555 1
   2004.11    11.557 1
   2005.49    11.557 1
   2006.86    11.560 1
   2008.24    11.560 1
   2009.61    11.557 1
   2010.98    11.561 1
   2012.36    11.567 1
   2013.73    11.568 1
   2015.10    11.564 1
   2016.48    11.567 1
   2017.85    11.569 1
   2019.23    11.570 1
   2020.60    11.570 1
   2021.97    11.568 1
   2023.35    11.570 1
   2024.72    11.573 1
   2026.09    11.572 1
   2027.47    11.574 1
   2028.84    11.580 1
   2030.22    11.578 1
   2031.59    11.577 1
   2032.96    11.577 1
   2034.34    11.577 1
   2035.71    11.579 1
   2037.08    11.584 1
   2038.46    11.587 1
   2039.83    11.587 1
   2041.21    11.588 1
   2042.58    11.583 1
   2043.95    11.584 1
   2045.33    11.586 1
   2046.70    11.586 1
   2048.08    11.589 1
   2049.45    11.587 1
   2050.82    11.588 1
   2052.20    11.596 1
   2053.57    11.595 1
   2054.95    11.597 1
   2056.32    11.596 1
   2057.69    11.597 1
   2059.07    11.598 1
   2060.44    11.599 1
   2061.81    11.597 1
   2063.19    11.596 1
   2064.56    11.597 1
   2065.94    11.601 1
   2067.31    11.602 1
   2068.69    11.607 1
   2070.06    11.608 1
   2071.43    11.608 1
   2072.81    11.608 1
   2074.18    11.605 1
   2075.55    11.608 1
   2076.93    11.607 1
   2078.30    11.610 1
   2079.68    11.610 1
   2081.05    11.614 1
   2082.42    11.613 1
   2083.80    11.617 1
   2085.17    11.617 1
   2086.55    11.615 1
   2087.92    11.616 1
   2089.29    11.619 1
   2090.67    11.622 1
   2092.04    11.625 1
   2093.42    11.625 1
   2094.79    11.624 1
   2096.17    11.624 1
   2097.54    11.621 1
   2098.91    11.625 1
   2100.29    11.626 1
   2101.66    11.629 1
   2103.03    11.629 1
   2104.41    11.625 1
   2105.78    11.628 1
   2107.16    11.631 1
   2108.53    11.633 1
   2109.91    11.635 1
   2111.28    11.632 1
   2112.65    11.629 1
   2114.03    11.632 1
   2115.40    11.634 1
   2116.78    11.638 1
   2118.15    11.640 1
   2119.52    11.639 1
   2120.90    11.637 1
   2122.27    11.638 1
   2123.65    11.643 1
   2125.02    11.642 1
   2126.40    11.643 1
   2127.77    11.649 1
   2129.14    11.647 1
   2130.52    11.648 1
   2131.89    11.648 1
   2133.27    11.651 1
   2134.64    11.649 1
   2136.01    11.648 1
   2137.39    11.651 1
   2138.76    11.653 1
   2140.14    11.652 1
   2141.51    11.654 1
   2142.89    11.659 1
   2144.26    11.657 1
   2145.64    11.654 1
   2147.01    11.656 1
   2148.38    11.658 1
   2149.76    11.658 1
   2151.13    11.657 1
   2152.51    11.661 1
   2153.88    11.661 1
   2155.25    11.665 1
   2156.63    11.665 1
   2158.00    11.666 1
   2159.38    11.670 1
   2160.75    11.672 1
   2162.13    11.672 1
   2163.50    11.673 1
   2164.88    11.668 1
   2166.25    11.668 1
   2167.62    11.670 1
   2169.00    11.672 1
   2170.37    11.671 1
   2171.75    11.672 1
   2173.12    11.671 1
   2174.50    11.674 1
   2175.87    11.675 1
   2177.24    11.673 1
   2178.62    11.682 1
   2179.99    11.684 1
   2181.37    11.684 1
   2182.74    11.680 1
   2184.11    11.683 1
   2185.49    11.686 1
   2186.86    11.688 1
   2188.24    11.685 1
   2189.61    11.682 1
   2190.99    11.686 1
   2192.36    11.689 1
   2193.74    11.689 1
   2195.11    11.690 1
   2196.48    11.692 1
   2197.86    11.691 1
   2199.23    11.694 1
   2200.61    11.696 1
   2201.98    11.699 1
   2203.36    11.692 1
   2204.73    11.692 1
   2206.10    11.695 1
   2207.48    11.696 1
   2208.85    11.700 1
   2210.23    11.698 1
   2211.60    11.703 1
   2212.98    11.701 1
   2214.35    11.704 1
   2215.73    11.701 1
   2217.10    11.702 1
   2218.47    11.699 1
   2219.85    11.701 1
   2221.22    11.707 1
   2222.60    11.711 1
   2223.97    11.709 1
   2225.35    11.706 1
   2226.72    11.709 1
   2228.09    11.714 1
   2229.47    11.714 1
   2230.84    11.714 1
   2232.22    11.716 1
   2233.59    11.717 1
   2234.97    11.718 1
   2236.34    11.719 1
   2237.72    11.724 1
   2239.09    11.727 1
   2240.47    11.723 1
   2241.84    11.719 1
   2243.21    11.722 1
   2244.59    11.723 1
   2245.96    11.725 1
   2247.34    11.725 1
   2248.71    11.726 1
   2250.09    11.726 1
   2251.46    11.727 1
   2252.83    11.729 1
   2254.21    11.729 1
   2255.58    11.727 1
   2256.96    11.728 1
   2258.33    11.728 1
   2259.71    11.731 1
   2261.08    11.734 1
   2262.46    11.735 1
   2263.83    11.736 1
   2265.21    11.734 1
   2266.58    11.734 1
   2267.96    11.735 1
   2269.33    11.738 1
   2270.70    11.738 1
   2272.08    11.741 1
   2273.45    11.744 1
   2274.83    11.745 1
   2276.20    11.746 1
   2277.58    11.744 1
   2278.95    11.747 1
   2280.32    11.745 1
   2281.70    11.745 1
   2283.07    11.751 1
   2284.45    11.751 1
   2285.82    11.749 1
   2287.20    11.752 1
   2288.57    11.753 1
   2289.95    11.757 1
   2291.32    11.757 1
   2292.70    11.758 1
   2294.07    11.757 1
   2295.44    11.758 1
   2296.82    11.760 1
   2298.19    11.761 1
   2299.57    11.763 1
   2300.94    11.761 1
   2302.32    11.762 1
   2303.69    11.759 1
   2305.07    11.758 1
   2306.44    11.760 1
   2307.81    11.763 1
   2309.19    11.763 1
   2310.56    11.762 1
   2311.94    11.764 1
   2313.31    11.767 1
   2314.69    11.767 1
   2316.06    11.770 1
   2317.44    11.773 1
   2318.81    11.772 1
   2320.19    11.772 1
   2321.56    11.772 1
   2322.93    11.775 1
   2324.31    11.776 1
   2325.68    11.779 1
   2327.06    11.777 1
   2328.43    11.777 1
   2329.81    11.779 1
   2331.18    11.781 1
   2332.56    11.784 1
   2333.93    11.784 1
   2335.30    11.783 1
   2336.68    11.782 1
   2338.05    11.784 1
   2339.43    11.781 1
   2340.80    11.779 1
   2342.18    11.783 1
   2343.55    11.789 1
   2344.93    11.790 1
   2346.30    11.793 1
   2347.68    11.792 1
   2349.05    11.784 1
   2350.42    11.785 1
   2351.80    11.790 1
   2353.17    11.793 1
   2354.55    11.794 1
   2355.92    11.794 1
   2357.30    11.796 1
   2358.67    11.800 1
   2360.05    11.801 1
   2361.42    11.798 1
   2362.79    11.799 1
   2364.17    11.799 1
   2365.54    11.797 1
   2366.92    11.799 1
   2368.29    11.801 1
   2369.67    11.804 1
   2371.04    11.804 1
   2372.42    11.806 1
   2373.79    11.805 1
   2375.17    11.807 1
   2376.54    11.805 1
   2377.91    11.805 1
   2379.29    11.809 1
   2380.66    11.814 1
   2382.04    11.818 1
   2383.41    11.818 1
   2384.79    11.813 1
   2386.16    11.812 1
   2387.53    11.815 1
   2388.91    11.818 1
   2390.28    11.815 1
   2391.66    11.815 1
   2393.03    11.816 1
   2394.41    11.821 1
   2395.78    11.822 1
   2397.16    11.822 1
   2398.53    11.827 1
   2399.91    11.826 1
   2401.28    11.822 1
   2402.65    11.820 1
   2404.03    11.824 1
   2405.40    11.826 1
   2406.78    11.827 1
   2408.15    11.828 1
   2409.53    11.831 1
   2410.90    11.832 1
   2412.27    11.833 1
   2413.65    11.831 1
   2415.02    11.834 1
   2416.40    11.837 1
   2417.77    11.836 1
   2419.15    11.835 1
   2420.52    11.835 1
   2421.90    11.835 1
   2423.27    11.836 1
   2424.65    11.841 1
   2426.02    11.838 1
   2427.39    11.838 1
   2428.77    11.843 1
   2430.14    11.842 1
   2431.52    11.843 1
   2432.89    11.841 1
   2434.27    11.843 1
   2435.64    11.844 1
   2437.01    11.849 1
   2438.39    11.848 1
   2439.76    11.846 1
   2441.14    11.847 1
   2442.51    11.847 1
   2443.89    11.846 1
   2445.26    11.847 1
   2446.64    11.849 1
   2448.01    11.852 1
   2449.38    11.852 1
   2450.76    11.856 1
   2452.13    11.861 1
   2453.51    11.861 1
   2454.88    11.859 1
   2456.25    11.860 1
   2457.63    11.857 1
   2459.00    11.862 1
   2460.38    11.860 1
   2461.75    11.862 1
   2463.13    11.861 1
   2464.50    11.863 1
   2465.88    11.864 1
   2467.25    11.867 1
   2468.62    11.870 1
   2470.00    11.867 1
   2471.37    11.870 1
   2472.75    11.868 1
   2474.12    11.870 1
   2475.50    11.872 1
   2476.87    11.869 1
   2478.24    11.867 1
   2479.62    11.869 1
   2480.99    11.873 1
   2482.37    11.873 1
   2483.74    11.874 1
   2485.12    11.873 1
   2486.49    11.875 1
   2487.86    11.877 1
   2489.24    11.875 1
   2490.61    11.877 1
   2491.99    11.881 1
   2493.36    11.885 1
   2494.74    11.883 1
   2496.11    11.883 1
   2497.48    11.881 1
   2498.86    11.883 1
   2500.23    11.883 1
   2501.61    11.886 1
   2502.98    11.889 1
   2504.35    11.889 1
   2505.73    11.889 1
   2507.10    11.887 1
   2508.48    11.887 1
   2509.85    11.888 1
   2511.23    11.888 1
   2512.60    11.893 1
   2513.97    11.892 1
   2515.35    11.892 1
   2516.72    11.891 1
   2518.10    11.891 1
   2519.47    11.895 1
   2520.84    11.894 1
   2522.22    11.896 1
   2523.59    11.902 1
   2524.97    11.903 1
   2526.34    11.905 1
   2527.72    11.903 1
   2529.09    11.900 1
   2530.46    11.903 1
   2531.84    11.903 1
   2533.21    11.903 1
   2534.59    11.907 1
   2535.96    11.909 1
   2537.33    11.911 1
   2538.71    11.911 1
   2540.08    11.907 1
   2541.46    11.907 1
   2542.83    11.908 1
   2544.21    11.907 1
   2545.58    11.911 1
   2546.95    11.910 1
   2548.33    11.913 1
   2549.70    11.914 1
   2551.07    11.916 1
   2552.45    11.918 1
   2553.82    11.916 1
   2555.20    11.919 1
   2556.57    11.919 1
   2557.95    11.922 1
   2559.32    11.919 1
   2560.69    11.919 1
   2562.07    11.920 1
   2563.44    11.921 1
   2564.81    11.926 1
   2566.19    11.927 1
   2567.56    11.926 1
   2568.94    11.925 1
   2570.31    11.925 1
   2571.69    11.929 1
   2573.06    11.934 1
   2574.43    11.930 1
   2575.81    11.928 1
   2577.18    11.931 1
   2578.55    11.930 1
   2579.93    11.932 1
   2581.30    11.935 1
   2582.68    11.938 1
   2584.05    11.935 1
   2585.43    11.936 1
   2586.80    11.936 1
   2588.17    11.937 1
   2589.55    11.935 1
   2590.92    11.938 1
   2592.29    11.936 1
   2593.67    11.938 1
   2595.04    11.940 1
   2596.42    11.940 1
   2597.79    11.944 1
   2599.16    11.948 1
   2600.54    11.948 1
   2601.91    11.942 1
   2603.28    11.944 1
   2604.66    11.947 1
   2606.03    11.951 1
   2607.41    11.949 1
   2608.78    11.950 1
   2610.15    11.951 1
   2611.53    11.948 1
   2612.90    11.948 1
   2614.27    11.950 1
   2615.65    11.950 1
   2617.02    11.947 1
   2618.40    11.949 1
   2619.77    11.954 1
   2621.14    11.957 1
   2622.52    11.957 1
   2623.89    11.955 1
   2625.26    11.958 1
   2626.64    11.959 1
   2628.01    11.961 1
   2629.39    11.962 1
   2630.76    11.963 1
   2632.13    11.960 1
   2633.51    11.962 1
   2634.88    11.964 1
   2636.25    11.969 1
   2637.63    11.970 1
   2639.00    11.965 1
   2640.38    11.967 1
   2641.75    11.966 1
   2643.12    11.969 1
   2644.50    11.974 1
   2645.87    11.974 1
   2647.24    11.971 1
   2648.62    11.971 1
   2649.99    11.972 1
   2651.36    11.971 1
   2652.74    11.973 1
   2654.11    11.974 1
   2655.48    11.978 1
   2656.86    11.976 1
   2658.23    11.975 1
   2659.60    11.976 1
   2660.98    11.976 1
   2662.35    11.978 1
   2663.73    11.984 1
   2665.10    11.982 1
   2666.47    11.983 1
   2667.85    11.983 1
   2669.22    11.984 1
   2670.59    11.987 1
   2671.97    11.985 1
   2673.34    11.986 1
   2674.71    11.990 1
   2676.09    11.995 1
   2677.46    11.995 1
   2678.83    11.984 1
   2680.21    11.985 1
   2681.58    11.988 1
   2682.95    11.988 1
   2684.33    11.994 1
   2685.70    11.995 1
   2687.07    11.995 1
   2688.45    11.992 1
   2689.82    11.992 1
   2691.19    11.994 1
   2692.57    11.994 1
   2693.94    11.997 1
   2695.31    11.996 1
   2696.69    11.996 1
   2698.06    11.999 1
   2699.43    12.002 1
   2700.81    12.004 1
   2702.18    12.002 1
   2703.55    12.005 1
   2704.93    12.002 1
   2706.30    12.006 1
   2707.67    12.007 1
   2709.05    12.009 1
   2710.42    12.011 1
   2711.79    12.008 1
   2713.17    12.010 1
   2714.54    12.010 1
   2715.91    12.011 1
   2717.28    12.012 1
   2718.66    12.012 1
   2720.03    12.010 1
   2721.40    12.010 1
   2722.78    12.012 1
   2724.15    12.012 1
   2725.52    12.017 1
   2726.90    12.018 1
   2728.27    12.013 1
   2729.64    12.015 1
   2731.02    12.019 1
   2732.39    12.017 1
   2733.76    12.019 1
   2735.14    12.021 1
   2736.51    12.020 1
   2737.88    12.022 1
   2739.25    12.022 1
   2740.63    12.027 1
   2742.00    12.029 1
   2743.37    12.026 1
   2744.75    12.023 1
   2746.12    12.028 1
   2747.49    12.030 1
   2748.86    12.032 1
   2750.24    12.035 1
   2751.61    12.035 1
   2752.98    12.033 1
   2754.36    12.029 1
   2755.73    12.032 1
   2757.10    12.034 1
   2758.48    12.032 1
   2759.85    12.031 1
   2761.22    12.039 1
   2762.59    12.039 1
   2763.97    12.039 1
   2765.34    12.038 1
   2766.71    12.038 1
   2768.08    12.040 1
   2769.46    12.041 1
   2770.83    12.041 1
   2772.20    12.043 1
   2773.58    12.039 1
   2774.95    12.042 1
   2776.32    12.048 1
   2777.69    12.047 1
   2779.07    12.045 1
   2780.44    12.044 1
   2781.81    12.044 1
   2783.19    12.047 1
   2784.56    12.046 1
   2785.93    12.047 1
   2787.30    12.049 1
   2788.68    12.051 1
   2790.05    12.053 1
   2791.42    12.056 1
   2792.79    12.057 1
   2794.17    12.063 1
   2795.54    12.076 1
   2796.91    12.074 1
   2798.28    12.060 1
   2799.66    12.055 1
   2801.03    12.063 1
   2802.40    12.073 1
   2803.77    12.071 1
   2805.15    12.062 1
   2806.52    12.059 1
   2807.89    12.057 1
   2809.26    12.063 1
   2810.64    12.065 1
   2812.01    12.071 1
   2813.38    12.070 1
   2814.75    12.068 1
   2816.12    12.071 1
   2817.50    12.067 1
   2818.87    12.066 1
   2820.24    12.067 1
   2821.61    12.066 1
   2822.99    12.068 1
   2824.36    12.069 1
   2825.73    12.067 1
   2827.10    12.063 1
   2828.48    12.070 1
   2829.85    12.077 1
   2831.22    12.076 1
   2832.59    12.077 1
   2833.97    12.082 1
   2835.34    12.080 1
   2836.71    12.076 1
   2838.08    12.080 1
   2839.46    12.084 1
   2840.83    12.083 1
   2842.20    12.081 1
   2843.57    12.080 1
   2844.94    12.081 1
   2846.31    12.083 1
   2847.69    12.087 1
   2849.06    12.087 1
   2850.43    12.088 1
   2851.80    12.085 1
   2853.18    12.086 1
   2854.55    12.086 1
   2855.92    12.088 1
   2857.29    12.090 1
   2858.66    12.095 1
   2860.04    12.096 1
   2861.41    12.093 1
   2862.78    12.092 1
   2864.15    12.089 1
   2865.52    12.091 1
   2866.90    12.097 1
   2868.27    12.095 1
   2869.64    12.094 1
   2871.01    12.097 1
   2872.38    12.099 1
   2873.76    12.100 1
   2875.13    12.099 1
   2876.50    12.096 1
   2877.87    12.100 1
   2879.24    12.102 1
   2880.61    12.102 1
   2881.99    12.102 1
   2883.36    12.108 1
   2884.73    12.109 1
   2886.10    12.111 1
   2887.47    12.109 1
   2888.84    12.105 1
   2890.22    12.107 1
   2891.59    12.105 1
   2892.96    12.107 1
   2894.33    12.111 1
   2895.70    12.110 1
   2897.08    12.110 1
   2898.45    12.109 1
   2899.82    12.112 1
   2901.19    12.111 1
   2902.56    12.110 1
   2903.93    12.106 1
   2905.30    12.110 1
   2906.68    12.114 1
   2908.05    12.116 1
   2909.42    12.113 1
   2910.79    12.115 1
   2912.16    12.120 1
   2913.53    12.118 1
   2914.91    12.121 1
   2916.28    12.121 1
   2917.65    12.116 1
   2919.02    12.122 1
   2920.39    12.123 1
   2921.76    12.126 1
   2923.14    12.125 1
   2924.51    12.126 1
   2925.88    12.127 1
   2927.25    12.129 1
   2928.62    12.125 1
   2929.99    12.127 1
   2931.36    12.128 1
   2932.73    12.133 1
   2934.10    12.130 1
   2935.48    12.129 1
   2936.85    12.132 1
   2938.22    12.133 1
   2939.59    12.131 1
   2940.96    12.134 1
   2942.33    12.135 1
   2943.70    12.132 1
   2945.07    12.135 1
   2946.45    12.137 1
   2947.82    12.142 1
   2949.19    12.141 1
   2950.56    12.141 1
   2951.93    12.140 1
   2953.30    12.142 1
   2954.67    12.141 1
   2956.04    12.139 1
   2957.42    12.139 1
   2958.79    12.141 1
   2960.16    12.143 1
   2961.53    12.143 1
   2962.90    12.143 1
   2964.27    12.145 1
   2965.64    12.145 1
   2967.01    12.147 1
   2968.38    12.151 1
   2969.75    12.150 1
   2971.12    12.149 1
   2972.50    12.148 1
   2973.87    12.154 1
   2975.24    12.155 1
   2976.61    12.153 1
   2977.98    12.154 1
   2979.35    12.158 1
   2980.72    12.164 1
   2982.09    12.158 1
   2983.46    12.155 1
   2984.83    12.155 1
   2986.20    12.155 1
   2987.57    12.155 1
   2988.95    12.158 1
   2990.31    12.157 1
   2991.69    12.160 1
   2993.06    12.162 1
   2994.43    12.161 1
   2995.80    12.162 1
   2997.17    12.165 1
   2998.54    12.163 1
   2999.91    12.162 1
   3001.28    12.166 1
   3002.65    12.167 1
   3004.02    12.166 1
   3005.39    12.165 1
   3006.76    12.167 1
   3008.13    12.172 1
   3009.50    12.175 1
   3010.87    12.173 1
   3012.24    12.172 1
   3013.61    12.167 1
   3014.99    12.168 1
   3016.35    12.172 1
   3017.73    12.173 1
   3019.10    12.172 1
   3020.47    12.175 1
   3021.84    12.176 1
   3023.21    12.179 1
   3024.58    12.176 1
   3025.95    12.178 1
   3027.32    12.177 1
   3028.69    12.176 1
   3030.06    12.179 1
   3031.43    12.179 1
   3032.80    12.182 1
   3034.17    12.183 1
   3035.54    12.188 1
   3036.91    12.184 1
   3038.28    12.185 1
   3039.65    12.187 1
   3041.02    12.185 1
   3042.39    12.186 1
   3043.76    12.192 1
   3045.13    12.187 1
   3046.50    12.189 1
   3047.87    12.189 1
   3049.24    12.190 1
   3050.61    12.190 1
   3051.98    12.194 1
   3053.35    12.193 1
   3054.72    12.193 1
   3056.09    12.195 1
   3057.46    12.199 1
   3058.83    12.196 1
   3060.20    12.197 1
   3061.57    12.200 1
   3062.94    12.199 1
   3064.31    12.195 1
   3065.55    12.189 1
   3068.29    12.193 1
   3071.04    12.206 1
   3073.78    12.198 1
   3076.53    12.196 1
   3079.28    12.207 1
   3082.02    12.204 1
   3084.77    12.205 1
   3087.51    12.211 1
   3090.26    12.211 1
   3093.01    12.208 1
   3095.75    12.214 1
   3098.50    12.212 1
   3101.25    12.214 1
   3103.99    12.216 1
   3106.74    12.220 1
   3109.49    12.227 1
   3112.23    12.224 1
   3114.98    12.219 1
   3117.72    12.220 1
   3120.47    12.228 1
   3123.22    12.227 1
   3125.96    12.226 1
   3128.71    12.228 1
   3131.46    12.232 1
   3134.20    12.235 1
   3136.95    12.233 1
   3139.70    12.239 1
   3142.44    12.245 1
   3145.19    12.239 1
   3147.94    12.241 1
   3150.68    12.241 1
   3153.43    12.246 1
   3156.18    12.252 1
   3158.92    12.242 1
   3161.67    12.239 1
   3164.42    12.237 1
   3167.16    12.242 1
   3169.91    12.250 1
   3172.66    12.253 1
   3175.40    12.257 1
   3178.15    12.261 1
   3180.90    12.259 1
   3183.64    12.264 1
   3186.39    12.260 1
   3189.14    12.266 1
   3191.88    12.261 1
   3194.63    12.262 1
   3197.38    12.264 1
   3200.12    12.260 1
   3202.87    12.263 1
   3205.62    12.261 1
   3208.37    12.271 1
   3211.11    12.274 1
   3213.86    12.275 1
   3216.61    12.277 1
   3219.35    12.279 1
   3222.10    12.282 1
   3224.85    12.280 1
   3227.60    12.283 1
   3230.34    12.277 1
   3233.09    12.282 1
   3235.84    12.279 1
   3238.58    12.280 1
   3241.33    12.284 1
   3244.08    12.285 1
   3246.83    12.291 1
   3249.57    12.290 1
   3252.32    12.294 1
   3255.07    12.300 1
   3257.82    12.297 1
   3260.56    12.296 1
   3263.31    12.299 1
   3266.06    12.300 1
   3268.81    12.302 1
   3271.55    12.307 1
   3274.30    12.300 1
   3277.05    12.303 1
   3279.80    12.308 1
   3282.54    12.309 1
   3285.29    12.312 1
   3288.04    12.308 1
   3290.79    12.313 1
   3293.53    12.309 1
   3296.28    12.315 1
   3299.03    12.314 1
   3301.78    12.316 1
   3304.52    12.317 1
   3307.27    12.330 1
   3310.02    12.324 1
   3312.77    12.321 1
   3315.52    12.319 1
   3318.26    12.326 1
   3321.01    12.336 1
   3323.76    12.328 1
   3326.51    12.327 1
   3329.25    12.327 1
   3332.00    12.329 1
   3334.75    12.335 1
   3337.50    12.331 1
   3340.25    12.334 1
   3342.99    12.338 1
   3345.74    12.338 1
   3348.49    12.336 1
   3351.24    12.347 1
   3353.99    12.342 1
   3356.73    12.338 1
   3359.48    12.340 1
   3362.23    12.352 1
   3364.98    12.357 1
   3367.73    12.354 1
   3370.47    12.347 1
   3373.22    12.349 1
   3375.97    12.349 1
   3378.72    12.346 1
   3381.47    12.349 1
   3384.21    12.352 1
   3386.96    12.354 1
   3389.71    12.358 1
   3392.46    12.358 1
   3395.21    12.366 1
   3397.96    12.365 1
   3400.70    12.367 1
   3403.45    12.363 1
   3406.20    12.363 1
   3408.95    12.366 1
   3411.70    12.367 1
   3414.45    12.369 1
   3417.19    12.371 1
   3419.94    12.375 1
   3422.69    12.375 1
   3425.44    12.380 1
   3428.19    12.376 1
   3430.94    12.378 1
   3433.68    12.379 1
   3436.43    12.377 1
   3439.18    12.377 1
   3441.93    12.376 1
   3444.68    12.388 1
   3447.43    12.394 1
   3450.17    12.397 1
   3452.92    12.390 1
   3455.67    12.395 1
   3458.42    12.392 1
   3461.17    12.397 1
   3463.92    12.397 1
   3466.67    12.398 1
   3469.41    12.397 1
   3472.16    12.400 1
   3474.91    12.401 1
   3477.66    12.399 1
   3480.41    12.405 1
   3483.16    12.402 1
   3485.91    12.407 1
   3488.65    12.414 1
   3491.40    12.419 1
   3494.15    12.422 1
   3496.90    12.428 1
   3499.65    12.424 1
   3502.40    12.421 1
   3505.15    12.428 1
   3507.89    12.432 1
   3510.64    12.431 1
   3513.39    12.429 1
   3516.14    12.429 1
   3518.89    12.424 1
   3521.64    12.420 1
   3524.39    12.431 1
   3527.14    12.422 1
   3529.88    12.425 1
   3532.63    12.431 1
   3535.38    12.435 1
   3538.13    12.429 1
   3540.88    12.432 1
   3543.63    12.435 1
   3546.38    12.432 1
   3549.13    12.433 1
   3551.88    12.438 1
   3554.62    12.439 1
   3557.37    12.439 1
   3560.12    12.438 1
   3562.87    12.439 1
   3565.62    12.438 1
   3568.37    12.443 1
   3571.12    12.441 1
   3573.87    12.445 1
   3576.62    12.446 1
   3579.36    12.451 1
   3582.11    12.450 1
   3584.86    12.453 1
   3587.61    12.455 1
   3590.36    12.455 1
   3593.11    12.451 1
   3595.86    12.456 1
   3598.61    12.457 1
   3601.36    12.457 1
   3604.11    12.460 1
   3606.85    12.462 1
   3609.60    12.461 1
   3612.35    12.469 1
   3615.10    12.466 1
   3617.85    12.470 1
   3620.60    12.479 1
   3623.35    12.472 1
   3626.10    12.472 1
   3628.85    12.470 1
   3631.60    12.469 1
   3634.35    12.476 1
   3637.10    12.473 1
   3639.84    12.477 1
   3642.59    12.482 1
   3645.34    12.486 1
   3648.09    12.478 1
   3650.84    12.482 1
   3653.59    12.477 1
   3656.34    12.485 1
   3659.09    12.485 1
   3661.84    12.483 1
   3664.59    12.491 1
   3667.34    12.497 1
   3670.09    12.491 1
   3672.84    12.491 1
   3675.59    12.488 1
   3678.33    12.495 1
   3681.08    12.489 1
   3683.83    12.495 1
   3686.58    12.498 1
   3689.33    12.499 1
   3692.08    12.500 1
   3694.83    12.507 1
   3697.58    12.506 1
   3700.33    12.506 1
   3703.08    12.513 1
   3705.83    12.516 1
   3708.58    12.520 1
   3711.33    12.518 1
   3714.08    12.509 1
   3716.83    12.507 1
   3719.58    12.510 1
   3722.33    12.511 1
   3725.07    12.515 1
   3727.82    12.520 1
   3730.57    12.531 1
   3733.32    12.524 1
   3736.07    12.522 1
   3738.82    12.523 1
   3741.57    12.527 1
   3744.32    12.533 1
   3747.07    12.532 1
   3749.82    12.528 1
   3752.57    12.525 1
   3755.32    12.533 1
   3758.07    12.527 1
   3760.82    12.529 1
   3763.57    12.539 1
   3766.32    12.545 1
   3769.07    12.540 1
   3771.82    12.540 1
   3774.57    12.541 1
   3777.32    12.544 1
   3780.07    12.542 1
   3782.81    12.542 1
   3785.56    12.534 1
   3788.31    12.535 1
   3791.06    12.538 1
   3793.81    12.543 1
   3796.56    12.548 1
   3799.31    12.553 1
   3802.06    12.552 1
   3804.81    12.544 1
   3807.56    12.544 1
   3810.31    12.552 1
   3813.06    12.545 1
   3815.81    12.549 1
   3818.56    12.556 1
   3821.31    12.556 1
   3824.06    12.560 1
   3826.81    12.567 1
   3829.56    12.573 1
   3832.31    12.575 1
   3835.06    12.568 1
   3837.81    12.570 1
   3840.56    12.567 1
   3843.31    12.560 1
   3846.06    12.556 1
   3848.81    12.561 1
   3851.56    12.552 1
   3854.31    12.545 1
   3857.06    12.550 1
   3859.80    12.553 1
   3862.55    12.552 1
   3865.30    12.554 1
   3868.05    12.560 1
   3870.80    12.561 1
   3873.55    12.572 1
   3876.30    12.578 1
   3879.05    12.592 1
   3881.80    12.602 1
   3884.55    12.615 1
   3887.30    12.626 1
   3890.05    12.637 1
   3892.80    12.624 1
   3895.55    12.609 1
   3898.30    12.599 1
   3901.05    12.592 1
   3903.80    12.580 1
   3906.55    12.575 1
   3909.30    12.561 1
   3912.05    12.554 1
   3914.80    12.548 1
   3917.55    12.544 1
   3920.30    12.542 1
   3923.05    12.536 1
   3925.80    12.544 1
   3928.55    12.541 1
   3931.30    12.541 1
   3934.05    12.547 1
   3936.80    12.548 1
   3939.55    12.553 1
   3942.30    12.559 1
   3945.05    12.572 1
   3947.80    12.590 1
   3950.55    12.600 1
   3953.30    12.616 1
   3956.05    12.635 1
   3958.80    12.655 1
   3961.55    12.678 1
   3964.30    12.707 1
   3967.05    12.721 1
   3969.80    12.742 1
   3972.55    12.745 1
   3975.30    12.723 1
   3978.04    12.699 1
   3980.79    12.677 1
   3983.54    12.654 1
   3986.29    12.640 1
   3989.04    12.626 1
   3991.79    12.613 1
   3994.54    12.596 1
   3997.29    12.585 1
   4000.04    12.571 1
   4002.79    12.563 1
   4005.54    12.560 1
   4008.29    12.548 1
   4011.04    12.542 1
   4013.79    12.540 1
   4016.54    12.534 1
   4019.29    12.530 1
   4022.04    12.527 1
   4024.79    12.526 1
   4027.54    12.525 1
   4030.29    12.522 1
   4033.04    12.524 1
   4035.79    12.532 1
   4038.54    12.537 1
   4041.29    12.532 1
   4044.04    12.534 1
   4046.79    12.535 1
   4049.54    12.547 1
   4052.29    12.548 1
   4055.04    12.551 1
   4057.79    12.557 1
   4060.54    12.562 1
   4063.29    12.570 1
   4066.04    12.589 1
   4068.79    12.597 1
   4071.54    12.608 1
   4074.29    12.620 1
   4077.04    12.632 1
   4079.79    12.655 1
   4082.54    12.674 1
   4085.29    12.696 1
   4088.04    12.720 1
   4090.79    12.748 1
   4093.54    12.784 1
   4096.29    12.821 1
   4099.04    12.863 1
   4101.79    12.887 1
   4104.54    12.883 1
   4107.29    12.855 1
   4110.04    12.823 1
   4112.79    12.792 1
   4115.54    12.758 1
   4118.29    12.727 1
   4121.04    12.701 1
   4123.79    12.680 1
   4126.53    12.662 1
   4129.28    12.653 1
   4132.03    12.633 1
