13.062 13.062    # From ESO web site (Bohlin source) 1
   1294.20    10.961 1
   1294.78    10.964 1
   1295.37    10.965 1
   1295.95    10.961 1
   1296.53    10.961 1
   1297.12    10.959 1
   1297.70    10.965 1
   1298.29    10.954 1
   1298.87    10.962 1
   1299.45    10.957 1
   1300.04    10.958 1
   1300.62    10.960 1
   1301.21    10.964 1
   1301.79    10.969 1
   1302.37    10.977 1
   1302.96    10.973 1
   1303.54    10.965 1
   1304.12    10.967 1
   1304.71    10.965 1
   1305.29    10.966 1
   1305.88    10.966 1
   1306.46    10.960 1
   1307.05    10.967 1
   1307.63    10.965 1
   1308.21    10.968 1
   1308.80    10.972 1
   1309.38    10.976 1
   1309.96    10.975 1
   1310.55    10.980 1
   1311.13    10.980 1
   1311.72    10.980 1
   1312.30    10.979 1
   1312.88    10.980 1
   1313.47    10.978 1
   1314.05    10.982 1
   1314.64    10.978 1
   1315.22    10.977 1
   1315.80    10.980 1
   1316.39    10.979 1
   1316.97    10.976 1
   1317.56    10.975 1
   1318.14    10.972 1
   1318.72    10.979 1
   1319.31    10.981 1
   1319.89    10.982 1
   1320.47    10.986 1
   1321.06    10.982 1
   1321.64    10.989 1
   1322.23    10.988 1
   1322.81    10.985 1
   1323.40    10.980 1
   1323.98    10.990 1
   1324.56    10.991 1
   1325.15    10.985 1
   1325.73    10.989 1
   1326.31    10.985 1
   1326.90    10.992 1
   1327.48    10.994 1
   1328.07    10.984 1
   1328.65    10.984 1
   1329.23    10.995 1
   1329.82    10.989 1
   1330.40    10.994 1
   1330.99    10.989 1
   1331.57    10.994 1
   1332.15    10.998 1
   1332.74    11.006 1
   1333.32    11.009 1
   1333.91    11.016 1
   1334.49    11.028 1
   1335.07    11.022 1
   1335.66    11.007 1
   1336.24    11.008 1
   1336.82    11.002 1
   1337.41    11.005 1
   1337.99    10.998 1
   1338.58    11.000 1
   1339.16    11.002 1
   1339.74    10.997 1
   1340.33    10.997 1
   1340.91    11.006 1
   1341.50    11.008 1
   1342.08    11.001 1
   1342.66    11.004 1
   1343.25    11.007 1
   1343.83    11.006 1
   1344.42    11.009 1
   1345.00    11.003 1
   1345.58    11.004 1
   1346.17    11.007 1
   1346.75    11.005 1
   1347.33    11.002 1
   1347.92    11.007 1
   1348.50    11.007 1
   1349.09    11.010 1
   1349.67    11.013 1
   1350.26    11.008 1
   1350.84    11.009 1
   1351.42    11.013 1
   1352.01    11.013 1
   1352.59    11.015 1
   1353.17    11.014 1
   1353.76    11.015 1
   1354.34    11.016 1
   1354.93    11.016 1
   1355.51    11.017 1
   1356.09    11.013 1
   1356.68    11.016 1
   1357.26    11.017 1
   1357.84    11.015 1
   1358.43    11.015 1
   1359.01    11.015 1
   1359.60    11.020 1
   1360.18    11.021 1
   1360.77    11.014 1
   1361.35    11.021 1
   1361.93    11.023 1
   1362.52    11.021 1
   1363.10    11.017 1
   1363.68    11.020 1
   1364.27    11.024 1
   1364.85    11.028 1
   1365.44    11.029 1
   1366.02    11.023 1
   1366.60    11.024 1
   1367.19    11.029 1
   1367.77    11.025 1
   1368.35    11.027 1
   1368.94    11.026 1
   1369.52    11.033 1
   1370.11    11.033 1
   1370.69    11.030 1
   1371.28    11.029 1
   1371.86    11.031 1
   1372.44    11.034 1
   1373.03    11.035 1
   1373.61    11.038 1
   1374.19    11.033 1
   1374.78    11.033 1
   1375.36    11.028 1
   1375.95    11.040 1
   1376.53    11.032 1
   1377.11    11.034 1
   1377.70    11.035 1
   1378.28    11.042 1
   1378.86    11.043 1
   1379.45    11.036 1
   1380.03    11.038 1
   1380.62    11.044 1
   1381.20    11.040 1
   1381.78    11.042 1
   1382.37    11.038 1
   1382.95    11.037 1
   1383.54    11.040 1
   1384.12    11.047 1
   1384.70    11.047 1
   1385.29    11.044 1
   1385.87    11.048 1
   1386.45    11.044 1
   1387.04    11.046 1
   1387.62    11.043 1
   1388.21    11.046 1
   1388.79    11.048 1
   1389.38    11.044 1
   1389.96    11.047 1
   1390.54    11.052 1
   1391.13    11.049 1
   1391.71    11.047 1
   1392.29    11.049 1
   1392.88    11.051 1
   1393.46    11.058 1
   1394.05    11.051 1
   1394.63    11.057 1
   1395.21    11.057 1
   1395.80    11.053 1
   1396.38    11.056 1
   1396.96    11.057 1
   1397.55    11.056 1
   1398.13    11.050 1
   1398.72    11.051 1
   1399.30    11.055 1
   1399.88    11.056 1
   1400.47    11.053 1
   1401.05    11.059 1
   1401.64    11.058 1
   1402.22    11.058 1
   1402.80    11.057 1
   1403.39    11.059 1
   1403.97    11.060 1
   1404.56    11.059 1
   1405.14    11.064 1
   1405.72    11.062 1
   1406.31    11.066 1
   1406.89    11.070 1
   1407.47    11.068 1
   1408.06    11.067 1
   1408.64    11.067 1
   1409.22    11.063 1
   1409.81    11.070 1
   1410.39    11.063 1
   1410.98    11.065 1
   1411.56    11.061 1
   1412.15    11.064 1
   1412.73    11.067 1
   1413.31    11.067 1
   1413.90    11.068 1
   1414.48    11.065 1
   1415.06    11.068 1
   1415.65    11.072 1
   1416.23    11.073 1
   1416.81    11.075 1
   1417.40    11.071 1
   1417.98    11.074 1
   1418.57    11.077 1
   1419.15    11.075 1
   1419.73    11.075 1
   1420.32    11.081 1
   1420.90    11.081 1
   1421.49    11.083 1
   1422.07    11.086 1
   1422.65    11.086 1
   1423.24    11.088 1
   1423.82    11.081 1
   1424.41    11.087 1
   1424.99    11.081 1
   1425.57    11.085 1
   1426.16    11.079 1
   1426.74    11.079 1
   1427.32    11.083 1
   1427.91    11.083 1
   1428.49    11.083 1
   1429.08    11.081 1
   1429.66    11.084 1
   1430.24    11.084 1
   1430.83    11.089 1
   1431.41    11.088 1
   1431.99    11.091 1
   1432.58    11.087 1
   1433.16    11.087 1
   1433.75    11.094 1
   1434.33    11.091 1
   1434.91    11.090 1
   1435.50    11.085 1
   1436.08    11.090 1
   1436.67    11.092 1
   1437.25    11.092 1
   1437.83    11.092 1
   1438.42    11.090 1
   1439.00    11.096 1
   1439.58    11.099 1
   1440.17    11.094 1
   1440.75    11.102 1
   1441.34    11.096 1
   1441.92    11.096 1
   1442.50    11.099 1
   1443.09    11.094 1
   1443.67    11.097 1
   1444.26    11.097 1
   1444.84    11.098 1
   1445.42    11.092 1
   1446.01    11.101 1
   1446.59    11.101 1
   1447.17    11.099 1
   1447.76    11.096 1
   1448.34    11.104 1
   1448.93    11.102 1
   1449.51    11.104 1
   1450.09    11.101 1
   1450.68    11.108 1
   1451.26    11.106 1
   1451.84    11.104 1
   1452.43    11.106 1
   1453.01    11.103 1
   1453.59    11.104 1
   1454.18    11.103 1
   1454.76    11.111 1
   1455.35    11.113 1
   1455.93    11.113 1
   1456.51    11.110 1
   1457.10    11.110 1
   1457.68    11.113 1
   1458.27    11.111 1
   1458.85    11.111 1
   1459.43    11.113 1
   1460.02    11.113 1
   1460.60    11.114 1
   1461.19    11.118 1
   1461.77    11.123 1
   1462.35    11.118 1
   1462.94    11.114 1
   1463.52    11.114 1
   1464.10    11.114 1
   1464.69    11.113 1
   1465.27    11.120 1
   1465.85    11.116 1
   1466.44    11.118 1
   1467.02    11.115 1
   1467.61    11.118 1
   1468.19    11.117 1
   1468.77    11.118 1
   1469.36    11.118 1
   1469.94    11.119 1
   1470.53    11.119 1
   1471.11    11.122 1
   1471.69    11.123 1
   1472.28    11.124 1
   1472.86    11.124 1
   1473.44    11.126 1
   1474.03    11.131 1
   1474.61    11.128 1
   1475.19    11.127 1
   1475.78    11.127 1
   1476.36    11.132 1
   1476.95    11.133 1
   1477.53    11.125 1
   1478.11    11.126 1
   1478.70    11.130 1
   1479.28    11.131 1
   1479.87    11.127 1
   1480.45    11.129 1
   1481.03    11.126 1
   1481.62    11.135 1
   1482.20    11.133 1
   1482.78    11.130 1
   1483.37    11.133 1
   1483.95    11.130 1
   1484.54    11.130 1
   1485.12    11.129 1
   1485.70    11.138 1
   1486.29    11.141 1
   1486.87    11.140 1
   1487.45    11.140 1
   1488.04    11.142 1
   1488.62    11.141 1
   1489.21    11.135 1
   1489.79    11.139 1
   1490.37    11.139 1
   1490.96    11.143 1
   1491.54    11.148 1
   1492.12    11.150 1
   1492.71    11.148 1
   1493.29    11.150 1
   1493.88    11.148 1
   1494.46    11.142 1
   1495.04    11.145 1
   1495.63    11.147 1
   1496.21    11.148 1
   1496.80    11.145 1
   1497.38    11.146 1
   1497.96    11.147 1
   1498.55    11.152 1
   1499.13    11.147 1
   1499.71    11.145 1
   1500.30    11.144 1
   1500.88    11.147 1
   1501.46    11.149 1
   1502.05    11.151 1
   1502.63    11.151 1
   1503.22    11.158 1
   1503.80    11.159 1
   1504.38    11.154 1
   1504.97    11.157 1
   1505.55    11.164 1
   1506.14    11.161 1
   1506.72    11.163 1
   1507.30    11.163 1
   1507.89    11.155 1
   1508.47    11.157 1
   1509.05    11.155 1
   1509.64    11.156 1
   1510.22    11.159 1
   1510.80    11.158 1
   1511.39    11.156 1
   1511.97    11.156 1
   1512.56    11.155 1
   1513.14    11.158 1
   1513.72    11.159 1
   1514.31    11.156 1
   1514.89    11.159 1
   1515.47    11.161 1
   1516.06    11.161 1
   1516.64    11.163 1
   1517.23    11.168 1
   1517.81    11.165 1
   1518.39    11.165 1
   1518.98    11.165 1
   1519.56    11.169 1
   1520.14    11.167 1
   1520.73    11.169 1
   1521.31    11.166 1
   1521.90    11.169 1
   1522.48    11.175 1
   1523.06    11.171 1
   1523.65    11.168 1
   1524.23    11.173 1
   1524.81    11.170 1
   1525.40    11.174 1
   1525.98    11.177 1
   1526.56    11.175 1
   1527.15    11.176 1
   1527.73    11.172 1
   1528.32    11.174 1
   1528.90    11.177 1
   1529.48    11.175 1
   1530.07    11.173 1
   1530.65    11.180 1
   1531.23    11.182 1
   1531.82    11.180 1
   1532.40    11.179 1
   1532.99    11.182 1
   1533.57    11.180 1
   1534.15    11.178 1
   1534.74    11.182 1
   1535.32    11.181 1
   1535.91    11.185 1
   1536.49    11.181 1
   1537.07    11.188 1
   1537.66    11.188 1
   1538.24    11.185 1
   1538.82    11.184 1
   1539.41    11.185 1
   1539.99    11.187 1
   1540.57    11.195 1
   1541.16    11.196 1
   1541.74    11.191 1
   1542.33    11.188 1
   1542.91    11.191 1
   1543.49    11.188 1
   1544.08    11.184 1
   1544.66    11.187 1
   1545.24    11.185 1
   1545.83    11.183 1
   1546.41    11.187 1
   1546.99    11.187 1
   1547.58    11.193 1
   1548.16    11.209 1
   1548.75    11.206 1
   1549.33    11.200 1
   1549.91    11.198 1
   1550.50    11.204 1
   1551.08    11.210 1
   1551.67    11.204 1
   1552.25    11.200 1
   1552.83    11.197 1
   1553.42    11.197 1
   1554.00    11.198 1
   1554.58    11.198 1
   1555.17    11.192 1
   1555.75    11.201 1
   1556.33    11.203 1
   1556.92    11.205 1
   1557.50    11.195 1
   1558.08    11.196 1
   1558.67    11.200 1
   1559.25    11.199 1
   1559.84    11.197 1
   1560.42    11.201 1
   1561.00    11.208 1
   1561.59    11.207 1
   1562.17    11.204 1
   1562.76    11.208 1
   1563.34    11.207 1
   1563.92    11.205 1
   1564.51    11.206 1
   1565.09    11.211 1
   1565.67    11.209 1
   1566.26    11.213 1
   1566.84    11.213 1
   1567.42    11.218 1
   1568.01    11.211 1
   1568.59    11.215 1
   1569.18    11.206 1
   1569.76    11.210 1
   1570.34    11.213 1
   1570.93    11.216 1
   1571.51    11.210 1
   1572.09    11.208 1
   1572.68    11.217 1
   1573.26    11.214 1
   1573.84    11.210 1
   1574.43    11.207 1
   1575.01    11.212 1
   1575.60    11.223 1
   1576.18    11.220 1
   1576.76    11.221 1
   1577.35    11.222 1
   1577.93    11.217 1
   1578.51    11.221 1
   1579.10    11.220 1
   1579.68    11.225 1
   1580.27    11.225 1
   1580.85    11.221 1
   1581.43    11.218 1
   1582.02    11.218 1
   1582.60    11.220 1
   1583.18    11.226 1
   1583.77    11.235 1
   1584.35    11.227 1
   1584.94    11.225 1
   1585.52    11.226 1
   1586.10    11.228 1
   1586.69    11.230 1
   1587.27    11.226 1
   1587.85    11.223 1
   1588.44    11.233 1
   1589.02    11.230 1
   1589.60    11.229 1
   1590.19    11.229 1
   1590.77    11.228 1
   1591.35    11.226 1
   1591.94    11.223 1
   1592.52    11.227 1
   1593.11    11.231 1
   1593.69    11.235 1
   1594.27    11.237 1
   1594.86    11.236 1
   1595.44    11.232 1
   1596.02    11.231 1
   1596.61    11.233 1
   1597.19    11.237 1
   1597.78    11.234 1
   1598.36    11.235 1
   1598.94    11.243 1
   1599.53    11.238 1
   1600.11    11.242 1
   1600.69    11.241 1
   1601.28    11.237 1
   1601.86    11.237 1
   1602.44    11.245 1
   1603.03    11.247 1
   1603.61    11.250 1
   1604.19    11.246 1
   1604.78    11.239 1
   1605.36    11.252 1
   1605.95    11.252 1
   1606.53    11.249 1
   1607.11    11.251 1
   1607.70    11.247 1
   1608.28    11.250 1
   1608.86    11.241 1
   1609.45    11.244 1
   1610.03    11.247 1
   1610.61    11.248 1
   1611.20    11.252 1
   1611.78    11.258 1
   1612.37    11.258 1
   1612.95    11.246 1
   1613.53    11.244 1
   1614.12    11.251 1
   1614.70    11.243 1
   1615.29    11.246 1
